Area,Area Code,Item,Item Code,current_year,current_area_harvested_ha,current_production_t,current_yield_kg/ha,beta,beta_std_err,n_obs
Africa,5100,"Peas, dry",187,2023,490355.0,613085.69,1250.3,0.31460460518796735,0.05189152492828496,62
Africa,5100,"Peas, green",417,2023,119600.0,649592.86,5431.4,0.3950274959045061,0.08260588626690553,62
Africa,5100,"Pepper (Piper spp.), raw",687,2023,134847.0,121555.3,901.4,0.6376703914669086,0.08362273573703508,62
Africa,5100,"Peppermint, spearmint",748,2023,1682.0,27783.8,16518.3,0.61165690308257,0.10047161861479853,37
Africa,5100,"Pigeon peas, dry",197,2023,853620.0,924787.02,1083.4,0.7626623838626503,0.09208688902813142,62
Africa,5100,Pineapples,574,2023,375898.0,5427144.82,14437.8,0.45237736053350786,0.05424763613723006,62
Africa,5100,"Pistachios, in shell",223,2023,45950.0,10510.29,228.7,0.27128984583935173,0.09131311716463575,53
Africa,5100,Plantains and cooking bananas,489,2023,5793935.0,30681485.09,5295.4,0.6714848558347939,0.0548230972017429,62
Africa,5100,Plums and sloes,536,2023,58827.0,494214.31,8401.2,0.3729903498875711,0.0784874582953238,62
Africa,5100,Pomelos and grapefruits,507,2023,64333.0,958170.71,14893.9,0.506968492866045,0.06768448660128532,62
Africa,5100,Potatoes,116,2023,1946729.0,29918315.3,15368.5,0.695031356442006,0.08054993181097551,62
Africa,5100,"Pulses, Total",1726,2023,31023896.0,23745552.68,765.4,0.38549037755093246,0.09878035979873347,62
Africa,5100,"Pumpkins, squash and gourds",394,2023,439080.0,3381094.98,7700.4,0.6636060339706029,0.09085816141136882,62
Africa,5100,"Pyrethrum, dried flowers",754,2023,20177.0,8375.86,415.1,0.5034208644752385,0.07774980450068304,62
Africa,5100,Quinces,523,2023,5145.0,59177.3,11501.1,0.26616082869531177,0.1373861161193033,62
Africa,5100,Rape or colza seed,270,2023,168668.0,301757.3,1789.1,0.9579242506455906,0.10739032496443394,62
Africa,5100,Raspberries,547,2023,5919.0,61280.02,10352.5,0.8131352549145001,0.04414900060789011,38
Africa,5100,Rice,27,2023,18446647.0,42672871.83,2313.3,0.5586976392705864,0.07917654792499854,62
